Date, Product_name, Producer, Price, Shipping, Rating, Number of Ratings
2020-02-05,AORUS GeForce RTX 2080 Super 8G Graphics Card WINDFORCE Stack 8GB 256-Bit GDDR6 GV-N208SAORUS-8GC Video Card,GIGABYTE,769,,Rating + 4",7
2020-02-05,RED DRAGON Radeon RX 5700 XT DirectX 12 AXRX 5700 XT 8GBD6-3DHR/OC 8GB 256-Bit GDDR6 PCI Express 4.0 CrossFireX Support ATX Video Card,PowerColor,409,,Rating + 4",28
2020-02-05,GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER VENTUS XS OC 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,249,,Rating + 4",14
2020-02-05,GeForce GTX 1660 DirectX 12 GTX 1660 GAMING X 6G 6GB 192-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,249,,Rating + 5",8
2020-02-05,GeForce RTX 2080 DirectX 12 RTX 2080 SEA HAWK X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,MSI,699,,Rating + 5",19
2020-02-05,GeForce RTX 2070 SUPER GAMING 08G-P4-3070-KR 8GB GDDR6 RGB LED Logo,EVGA,529,,Rating + 4",4
2020-02-05,AORUS GeForce RTX 2080 TI DirectX 12 GV-N208TAORUS X-11GC Video Card,GIGABYTE,1,299,,Rating + 4",25
2020-02-05,GeForce RTX 2080 SUPER XC ULTRA GAMING Video Card 08G-P4-3183-KR 8GB GDDR6 RGB LED Metal Backplate,EVGA,739,,Rating + 5",25
2020-02-05,GeForce GTX 1650 SUPER WINDFORCE OC 4G Graphics Card 2 x WINDFORCE Fans 4GB 128-Bit GDDR6 GV-N165SWF2OC-4GD Video Card,GIGABYTE,169,,Rating + 5",3
2020-02-05,GeForce GTX 1650 DirectX 12 GTX 1650 GAMING X 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,159,,Rating + 4",5
2020-02-05,GeForce RTX 2080 TI FTW3 ULTRA HYBRID GAMING 11G-P4-2484-KR 11GB GDDR6 RGB LED & iCX2 Technology - 9 Thermal Sensors,EVGA,1,499,,Rating + 4",21
2020-02-05,GeForce RTX 2060 SUPER XC GAMING 08G-P4-3162-KR 8GB GDDR6 Dual HDB Fans RGB LED Metal Backplate,EVGA,469,,Rating + 4",3
2020-02-05,GeForce GT 1030 Low Profile 2GB GV-N1030D5-2GL,GIGABYTE,89,,Rating + 5",19
2020-02-05,GeForce RTX 2060 SUPER DirectX 12 RTX 2060 SUPER GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,MSI,469,,Rating + 4",15
2020-02-05,AORUS GeForce RTX 2080 SUPER DirectX 12 GV-N208SAORUS WB-8GC 8GB 256-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,GIGABYTE,839,,Rating + 5",4
2020-02-05,Dual GeForce RTX 2080 Ti DirectX 12 DUAL-RTX2080TI-O11G 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,ASUS,1,059,,Rating + 3",30
2020-02-05,Radeon RX 5700 XT 8G Graphics Card PCIe 4.0 8GB 256-Bit GDDR6 GV-R57XT-8GD-B Video Card,GIGABYTE,582,,Rating + 4",11
2020-02-05,GeForce GTX 1660 Super Overclocked 6GB Dual-fan EVO Edition VR Ready HDMI DisplayPort DVI Graphics Card (DUAL-GTX1660S-O6G-EVO),ASUS,239,,Rating + 4",2
2020-02-05,Radeon RX 5700 GAMING OC 8G Graphics Card PCIe 4.0 8GB 256-Bit GDDR6 GV-R57GAMING OC-8GD Video Card,GIGABYTE,359,,Rating + 4",7
2020-02-05,AORUS GeForce RTX 2080 Ti DirectX 12 GV-N208TAORUS-11GC 11GB 352-Bit GDDR6 PCI Express 3.0 x16 SLI Support ATX Video Card,GIGABYTE,1,279,,Rating + 3",9
